name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"San Francisco, CA, United States",2025-08-07,72.3,58.6,63.6,72.3,58.6,63.6,56.4,78.4,0,0,0,,0,0,31.1,18.9,293.6,1015.9,43.2,9.9,316.5,27.4,10,10,2025-08-07T06:18:44,2025-08-07T20:11:38,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,C5988,72494023234"
"San Francisco, CA, United States",2025-08-08,76.8,57.3,65.2,76.8,57.3,65.2,56.7,75.4,0,0,0,,0,0,31.1,17.1,310.5,1012.3,20.7,9.7,321,27.7,10,10,2025-08-08T06:19:35,2025-08-08T20:10:30,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,C5988,72494023234"
"San Francisco, CA, United States",2025-08-09,74.7,57.5,63.9,74.7,57.5,63.9,56.6,78.6,0,0,0,,0,0,32.3,17.3,312.9,1012.5,24.1,9.9,312.9,26.8,10,10,2025-08-09T06:20:27,2025-08-09T20:09:21,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,C5988,72494023234"
"San Francisco, CA, United States",2025-08-10,70.3,58,62.5,70.3,58,62.5,56.6,81.9,0,0,0,,0,0,31.1,18.8,305.7,1014.6,54.3,9.9,275,23.8,9,10,2025-08-10T06:21:18,2025-08-10T20:08:11,0.55,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,C5988,72494023234"
"San Francisco, CA, United States",2025-08-11,67.9,59.2,62.2,67.9,59.2,62.2,55.7,79.8,0,0,0,,0,0,29.9,18.8,291.3,1016.2,65.7,9.9,248.5,21.5,10,10,2025-08-11T06:22:10,2025-08-11T20:06:59,0.59,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,C5988,72494023234"
"San Francisco, CA, United States",2025-08-12,67.5,58,62.1,67.5,58,62.1,55.9,80.6,0,0,0,,0,0,33.8,19.1,281.7,1015,84.2,9.9,172.1,14.8,7,10,2025-08-12T06:23:01,2025-08-12T20:05:47,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,C5988,72494023234"
"San Francisco, CA, United States",2025-08-13,69.3,59.7,63.3,69.3,59.7,63.3,57.2,80.7,0,0,0,,0,0,27.7,16.8,270.6,1015.1,90.6,9.9,166.5,14.2,6,10,2025-08-13T06:23:53,2025-08-13T20:04:33,0.66,Overcast,Cloudy skies throughout the day.,cloudy,"72585093228,KSFO,72493023230,KHWD,KOAK,C5988,72494023234"
"San Francisco, CA, United States",2025-08-14,69.7,58.9,63,69.7,58.9,63,56.3,79.1,0,0,0,,0,0,33.1,18.5,280.3,1013.8,61.2,9.9,299.6,25.8,10,10,2025-08-14T06:24:45,2025-08-14T20:03:18,0.7,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,C5988,72494023234"
"San Francisco, CA, United States",2025-08-15,70.5,59,64.2,70.5,59,64.2,56.6,76.9,0,0,0,,0,0,52.9,23.9,272.9,1013,32.3,9.9,310.3,26.8,10,10,2025-08-15T06:25:36,2025-08-15T20:02:03,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,C5988,72494023234"
"San Francisco, CA, United States",2025-08-16,70.8,62.2,65.3,70.8,62.2,65.3,59.7,82.1,0,0,0,,0,0,39.1,18.5,268.6,1015.9,77.7,9.8,281.3,24,10,10,2025-08-16T06:26:28,2025-08-16T20:00:46,0.77,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,C5988,72494023234"
"San Francisco, CA, United States",2025-08-17,70.1,60.3,64.3,70.1,60.3,64.3,57.2,78.4,0,0,0,,0,0,32.2,19,267.8,1016.9,75.7,9.9,263.4,22.8,10,10,2025-08-17T06:27:19,2025-08-17T19:59:28,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,C5988,72494023234"
"San Francisco, CA, United States",2025-08-18,72.8,58.7,65.1,72.8,58.7,65.1,54.2,69.8,0,0,0,,0,0,35.2,18.9,276.4,1017,36.7,9.9,312.7,27.1,10,10,2025-08-18T06:28:11,2025-08-18T19:58:09,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,C5988,72494023234"
"San Francisco, CA, United States",2025-08-19,72,56.4,64.1,72,56.4,64.1,54.6,72.2,0,0,0,,0,0,35.7,19.3,280,1018.2,17.9,9.9,316.6,27.4,10,10,2025-08-19T06:29:02,2025-08-19T19:56:50,0.88,Clear,Clear conditions throughout the day.,clear-day,"72585093228,KSFO,72493023230,KHWD,KOAK,C5988,72494023234"
"San Francisco, CA, United States",2025-08-20,79.9,57.5,66,79.9,57.5,66,56.1,72.4,0,0,0,,0,0,35.8,19.6,297.9,1017,17.6,9.9,306.5,26.5,9,10,2025-08-20T06:29:54,2025-08-20T19:55:29,0.91,Clear,Clear conditions throughout the day.,clear-day,"72585093228,KSFO,72493023230,KHWD,KOAK,C5988,72494023234"
"San Francisco, CA, United States",2025-08-21,80,57.6,66.5,80.3,57.6,66.5,56.3,71.7,0,0,0,,0,0,40.3,19.3,296.7,1013,33.8,9.9,280.2,24.4,9,10,2025-08-21T06:30:45,2025-08-21T19:54:08,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,C5988,72494023234"
"San Francisco, CA, United States",2025-08-22,70.9,56.9,61.6,70.9,56.9,61.6,55.8,82.3,0,0,0,,0,0,28.9,20,303.7,1011.9,55.9,9.5,263.2,22.9,10,10,2025-08-22T06:31:36,2025-08-22T19:52:46,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KSFO,KHWD,KOAK,C5988"
